temperature (°C),cloud_cover (%),precipitation_amount (mm/h),wind_speed (m/s),wind_direction (°),humidity (%),pressure (hPa),Time
5.48,100.0,0.073,2.2,72.8,99.4,1009.6,2025-04-21 00:00:00
5.52,100.0,0.171,2.1,86.3,98.8,1009.3,2025-04-21 01:00:00
5.41,100.0,0.569,2.7,80.7,98.1,1009.1,2025-04-21 02:00:00
5.5,99.9,1.455,3.0,76.8,98.4,1008.8,2025-04-21 03:00:00
5.45,99.7,2.294,3.1,76.7,98.2,1008.5,2025-04-21 04:00:00
5.34,100.0,1.018,3.2,71.0,97.2,1008.4,2025-04-21 05:00:00
5.13,100.0,1.595,3.6,71.3,96.4,1008.3,2025-04-21 06:00:00
4.93,100.0,2.29,3.4,79.3,96.5,1008.2,2025-04-21 07:00:00
4.95,100.0,1.453,3.6,68.6,95.5,1008.3,2025-04-21 08:00:00
4.95,100.0,0.361,4.2,57.5,94.6,1008.5,2025-04-21 09:00:00
4.76,100.0,0.666,4.1,53.8,93.3,1009.0,2025-04-21 10:00:00
4.7,100.0,0.87,3.9,41.6,92.6,1009.5,2025-04-21 11:00:00
4.82,100.0,1.386,3.6,35.9,91.5,1010.2,2025-04-21 12:00:00
5.11,100.0,1.235,3.5,29.3,90.7,1011.0,2025-04-21 13:00:00
5.21,100.0,0.394,3.5,30.3,90.5,1011.7,2025-04-21 14:00:00
5.36,100.0,0.247,3.3,25.3,90.3,1012.3,2025-04-21 15:00:00
5.56,100.0,0.139,3.2,27.2,89.9,1012.9,2025-04-21 16:00:00
5.73,100.0,0.098,3.3,26.9,89.7,1013.6,2025-04-21 17:00:00
5.97,100.0,0.022,3.4,30.5,88.1,1014.1,2025-04-21 18:00:00
6.29,100.0,0.0,3.5,36.1,86.1,1014.5,2025-04-21 19:00:00
6.93,100.0,0.0,3.1,35.2,80.8,1015.2,2025-04-21 20:00:00
6.05,100.0,0.0,2.6,42.3,84.7,1015.9,2025-04-21 21:00:00
5.72,100.0,0.0,2.4,35.6,85.7,1016.7,2025-04-21 22:00:00
5.46,100.0,0.0,2.4,30.0,85.7,1017.2,2025-04-21 23:00:00
