Time,Diffuse radiation (W/m2),Direct solar radiation (W/m2),Global radiation (W/m2),Long wave outgoing solar radiation (W/m2),Long wave solar radiation  (W/m2),Radiation balance (W/m2),Reflected radiation (W/m2),Sunshine duration (s),Ultraviolet irradiance (index)
2025-06-02 00:00:00,4.1,-1.5,-2.9,,284.9,,,0.0,0.0
2025-06-02 00:01:00,4.2,-1.4,-3.0,,284.8,,,0.0,0.0
2025-06-02 00:02:00,3.8,-1.3,-2.8,,285.1,,,0.0,0.0
2025-06-02 00:03:00,3.8,-1.4,-2.9,,285.1,,,0.0,0.0
2025-06-02 00:04:00,3.3,-1.3,-2.8,,285.4,,,0.0,0.0
2025-06-02 00:05:00,3.7,-1.1,-3.1,,285.6,,,0.0,0.0
2025-06-02 00:06:00,4.0,-1.0,-3.0,,286.1,,,0.0,0.0
2025-06-02 00:07:00,3.6,-0.7,-2.6,,286.5,,,0.0,0.0
2025-06-02 00:08:00,2.9,-0.6,-2.8,,286.6,,,0.0,0.0
2025-06-02 00:09:00,3.8,-0.8,-2.7,,286.9,,,0.0,0.0
2025-06-02 00:10:00,3.4,-0.8,-2.8,,287.1,,,0.0,0.0
2025-06-02 00:11:00,3.1,-0.6,-2.9,,287.1,,,0.0,0.0
2025-06-02 00:12:00,3.2,-0.6,-2.9,,287.2,,,0.0,0.0
2025-06-02 00:13:00,3.8,-0.5,-3.1,,287.1,,,0.0,0.0
2025-06-02 00:14:00,2.7,-0.6,-3.0,,287.1,,,0.0,0.0
2025-06-02 00:15:00,3.6,-0.8,-2.7,,287.4,,,0.0,0.0
2025-06-02 00:16:00,3.4,-0.6,-2.9,,287.4,,,0.0,0.0
2025-06-02 00:17:00,4.1,-0.7,-2.8,,287.3,,,0.0,0.0
2025-06-02 00:18:00,4.4,-0.8,-2.8,,287.3,,,0.0,0.0
2025-06-02 00:19:00,3.6,-0.9,-2.8,,287.3,,,0.0,0.0
2025-06-02 00:20:00,3.7,-1.1,-2.8,,287.4,,,0.0,0.0
2025-06-02 00:21:00,3.4,-1.0,-2.6,,287.6,,,0.0,0.0
2025-06-02 00:22:00,4.4,-1.2,-2.5,,287.5,,,0.0,0.0
2025-06-02 00:23:00,5.1,-1.3,-2.5,,287.7,,,0.0,0.0
2025-06-02 00:24:00,4.5,-1.4,-2.6,,287.8,,,0.0,0.0
2025-06-02 00:25:00,4.0,-1.2,-2.4,,287.8,,,0.0,0.0
2025-06-02 00:26:00,4.6,-1.2,-2.3,,287.9,,,0.0,0.0
2025-06-02 00:27:00,4.0,-1.2,-2.3,,288.1,,,0.0,0.0
2025-06-02 00:28:00,4.0,-1.1,-2.3,,287.9,,,0.0,0.0
2025-06-02 00:29:00,4.2,-1.2,-2.2,,288.0,,,0.0,0.0
2025-06-02 00:30:00,4.3,-1.4,-2.6,,288.0,,,0.0,0.0
2025-06-02 00:31:00,4.0,-1.4,-2.5,,288.3,,,0.0,0.0
2025-06-02 00:32:00,4.3,-1.3,-2.5,,288.3,,,0.0,0.0
2025-06-02 00:33:00,3.7,-1.3,-2.7,,288.3,,,0.0,0.0
2025-06-02 00:34:00,4.1,-1.5,-3.0,,288.1,,,0.0,0.0
2025-06-02 00:35:00,4.3,-1.5,-2.8,,288.2,,,0.0,0.0
2025-06-02 00:36:00,3.6,-1.4,-2.7,,288.4,,,0.0,0.0
2025-06-02 00:37:00,3.9,-1.2,-2.3,,288.5,,,0.0,0.0
2025-06-02 00:38:00,3.8,-1.1,-2.5,,288.7,,,0.0,0.0
2025-06-02 00:39:00,3.8,-1.1,-2.5,,288.6,,,0.0,0.0
2025-06-02 00:40:00,3.2,-1.1,-2.6,,288.5,,,0.0,0.0
2025-06-02 00:41:00,3.7,-1.2,-2.7,,288.5,,,0.0,0.0
2025-06-02 00:42:00,3.8,-1.1,-2.5,,288.5,,,0.0,0.0
2025-06-02 00:43:00,3.4,-1.1,-2.6,,288.5,,,0.0,0.0
2025-06-02 00:44:00,3.6,-1.1,-2.7,,288.5,,,0.0,0.0
2025-06-02 00:45:00,3.8,-1.0,-2.6,,288.4,,,0.0,0.0
2025-06-02 00:46:00,4.2,-1.1,-2.9,,288.5,,,0.0,0.0
2025-06-02 00:47:00,3.6,-1.2,-3.0,,288.5,,,0.0,0.0
2025-06-02 00:48:00,3.8,-1.0,-2.6,,288.8,,,0.0,0.0
2025-06-02 00:49:00,2.9,-0.9,-2.5,,288.6,,,0.0,0.0
2025-06-02 00:50:00,3.6,-1.0,-2.6,,288.6,,,0.0,0.0
2025-06-02 00:51:00,3.4,-1.1,-3.0,,288.3,,,0.0,0.0
2025-06-02 00:52:00,4.0,-0.8,-2.3,,288.4,,,0.0,0.0
2025-06-02 00:53:00,3.7,-0.7,-2.5,,288.3,,,0.0,0.0
2025-06-02 00:54:00,4.3,-0.6,-2.2,,288.5,,,0.0,0.0
2025-06-02 00:55:00,4.1,-0.5,-2.0,,288.4,,,0.0,0.0
2025-06-02 00:56:00,3.9,-0.6,-2.1,,288.4,,,0.0,0.0
2025-06-02 00:57:00,3.8,-0.5,-2.0,,288.4,,,0.0,0.0
2025-06-02 00:58:00,3.8,-0.6,-2.0,,288.5,,,0.0,0.0
2025-06-02 00:59:00,2.5,-0.6,-2.1,,288.3,,,0.0,0.0
2025-06-02 01:00:00,3.9,-0.6,-2.2,,288.1,,,0.0,0.0
2025-06-02 01:01:00,4.1,-0.5,-2.3,,288.2,,,0.0,0.0
2025-06-02 01:02:00,3.9,-0.6,-2.5,,288.3,,,0.0,0.0
2025-06-02 01:03:00,4.0,-0.4,-2.5,,288.5,,,0.0,0.0
2025-06-02 01:04:00,3.6,-0.2,-2.3,,288.7,,,0.0,0.0
2025-06-02 01:05:00,2.7,-0.4,-2.7,,288.8,,,0.0,0.0
2025-06-02 01:06:00,3.6,-0.3,-2.5,,289.1,,,0.0,0.0
2025-06-02 01:07:00,3.5,-0.5,-2.8,,288.9,,,0.0,0.0
2025-06-02 01:08:00,4.1,-0.3,-2.4,,289.2,,,0.0,0.0
2025-06-02 01:09:00,3.9,-0.5,-2.6,,289.3,,,0.0,0.0
2025-06-02 01:10:00,3.8,-0.3,-2.4,,289.5,,,0.0,0.0
2025-06-02 01:11:00,3.8,-0.4,-2.5,,289.5,,,0.0,0.0
2025-06-02 01:12:00,3.5,-0.3,-2.3,,289.7,,,0.0,0.0
2025-06-02 01:13:00,4.5,-0.3,-2.3,,289.7,,,0.0,0.0
2025-06-02 01:14:00,3.4,-0.5,-2.5,,289.5,,,0.0,0.0
2025-06-02 01:15:00,4.3,-0.4,-2.3,,289.5,,,0.0,0.0
2025-06-02 01:16:00,3.8,-0.4,-2.2,,289.2,,,0.0,0.0
2025-06-02 01:17:00,3.7,-0.6,-2.5,,289.1,,,0.0,0.0
2025-06-02 01:18:00,4.2,-0.5,-2.3,,289.2,,,0.0,0.0
2025-06-02 01:19:00,3.6,-0.6,-2.5,,289.0,,,0.0,0.0
2025-06-02 01:20:00,4.4,-0.7,-2.4,,288.9,,,0.0,0.0
2025-06-02 01:21:00,4.5,-0.7,-2.4,,288.9,,,0.0,0.0
2025-06-02 01:22:00,4.2,-0.5,-2.0,,289.0,,,0.0,0.0
2025-06-02 01:23:00,4.8,-0.8,-2.1,,288.8,,,0.0,0.0
2025-06-02 01:24:00,4.8,-1.0,-2.2,,288.6,,,0.0,0.0
2025-06-02 01:25:00,4.2,-0.9,-2.2,,288.6,,,0.0,0.0
2025-06-02 01:26:00,4.7,-0.9,-1.8,,288.4,,,0.0,0.0
2025-06-02 01:27:00,4.6,-1.2,-2.0,,288.2,,,0.0,0.0
2025-06-02 01:28:00,4.7,-1.5,-2.0,,288.0,,,0.0,0.0
2025-06-02 01:29:00,5.8,-1.6,-1.7,,287.6,,,0.0,0.0
2025-06-02 01:30:00,5.1,-1.9,-1.8,,286.9,,,0.0,0.0
2025-06-02 01:31:00,4.8,-2.1,-1.8,,286.7,,,0.0,0.0
2025-06-02 01:32:00,5.6,-2.2,-1.3,,286.9,,,0.0,0.0
2025-06-02 01:33:00,6.0,-2.5,-1.2,,286.8,,,0.0,0.0
2025-06-02 01:34:00,6.3,-2.6,-1.3,,286.6,,,0.0,0.0
2025-06-02 01:35:00,6.5,-2.6,-1.0,,286.7,,,0.0,0.0
2025-06-02 01:36:00,6.1,-2.8,-1.1,,286.8,,,0.0,0.0
2025-06-02 01:37:00,5.8,-3.0,-1.4,,286.8,,,0.0,0.0
2025-06-02 01:38:00,6.2,-3.1,-1.6,,286.7,,,0.0,0.0
2025-06-02 01:39:00,5.5,-3.2,-1.8,,286.6,,,0.0,0.0
2025-06-02 01:40:00,6.0,-2.9,-1.8,,286.7,,,0.0,0.0
2025-06-02 01:41:00,5.4,-3.0,-1.8,,286.4,,,0.0,0.0
2025-06-02 01:42:00,5.2,-3.0,-1.9,,286.4,,,0.0,0.0
2025-06-02 01:43:00,4.8,-3.0,-1.8,,286.4,,,0.0,0.0
2025-06-02 01:44:00,4.7,-3.0,-2.0,,286.6,,,0.0,0.0
2025-06-02 01:45:00,4.7,-2.8,-2.0,,286.8,,,0.0,0.0
2025-06-02 01:46:00,4.6,-2.9,-2.3,,286.5,,,0.0,0.0
2025-06-02 01:47:00,5.0,-2.6,-2.1,,286.7,,,0.0,0.0
2025-06-02 01:48:00,4.2,-2.5,-2.2,,286.6,,,0.0,0.0
2025-06-02 01:49:00,4.5,-2.4,-2.3,,286.8,,,0.0,0.0
2025-06-02 01:50:00,3.8,-2.2,-2.3,,286.7,,,0.0,0.0
2025-06-02 01:51:00,4.5,-2.1,-2.3,,286.7,,,0.0,0.0
2025-06-02 01:52:00,4.0,-1.9,-2.2,,286.9,,,0.0,0.0
2025-06-02 01:53:00,4.0,-1.8,-2.3,,287.0,,,0.0,0.0
2025-06-02 01:54:00,4.0,-1.6,-2.3,,287.0,,,0.0,0.0
2025-06-02 01:55:00,3.9,-1.5,-2.4,,286.6,,,0.0,0.0
2025-06-02 01:56:00,4.2,-1.5,-2.4,,286.9,,,0.0,0.0
2025-06-02 01:57:00,2.9,-1.4,-2.5,,287.4,,,0.0,0.0
2025-06-02 01:58:00,3.6,-1.3,-2.7,,287.6,,,0.0,0.0
2025-06-02 01:59:00,3.2,-1.2,-3.0,,288.0,,,0.0,0.0
2025-06-02 02:00:00,3.5,-0.8,-2.9,,288.2,,,0.0,0.0
2025-06-02 02:01:00,2.7,-0.6,-3.0,,288.0,,,0.0,0.0
2025-06-02 02:02:00,3.1,-0.4,-2.9,,288.1,,,0.0,0.0
2025-06-02 02:03:00,3.1,-0.4,-2.9,,288.3,,,0.0,0.0
2025-06-02 02:04:00,2.8,-0.3,-2.9,,288.5,,,0.0,0.0
2025-06-02 02:05:00,3.3,-0.2,-3.3,,288.4,,,0.0,0.0
2025-06-02 02:06:00,2.9,-0.1,-3.3,,288.5,,,0.0,0.0
2025-06-02 02:07:00,3.2,0.5,-2.6,,288.7,,,0.0,0.0
2025-06-02 02:08:00,3.7,0.5,-2.5,,289.1,,,0.0,0.0
2025-06-02 02:09:00,3.1,0.6,-2.4,,289.0,,,0.0,0.0
2025-06-02 02:10:00,4.1,0.5,-2.2,,289.6,,,0.0,0.0
2025-06-02 02:11:00,2.9,0.4,-2.4,,289.4,,,0.0,0.0
2025-06-02 02:12:00,4.0,0.3,-2.4,,289.7,,,0.0,0.0
2025-06-02 02:13:00,3.8,0.4,-2.3,,289.8,,,0.0,0.0
2025-06-02 02:14:00,4.2,0.4,-2.2,,289.9,,,0.0,0.0
2025-06-02 02:15:00,4.3,0.4,-2.4,,289.6,,,0.0,0.0
2025-06-02 02:16:00,3.7,0.3,-2.6,,289.6,,,0.0,0.0
2025-06-02 02:17:00,3.7,0.1,-2.2,,289.4,,,0.0,0.0
2025-06-02 02:18:00,4.1,0.2,-2.3,,289.7,,,0.0,0.0
2025-06-02 02:19:00,4.0,0.2,-2.2,,289.6,,,0.0,0.0
2025-06-02 02:20:00,4.2,0.1,-2.2,,289.7,,,0.0,0.0
2025-06-02 02:21:00,3.7,0.0,-2.2,,289.7,,,0.0,0.0
2025-06-02 02:22:00,3.7,-0.3,-2.5,,289.6,,,0.0,0.0
2025-06-02 02:23:00,4.3,-0.4,-2.7,,289.7,,,0.0,0.0
2025-06-02 02:24:00,4.2,-0.6,-2.8,,289.7,,,0.0,0.0
2025-06-02 02:25:00,4.8,-0.5,-2.5,,289.7,,,0.0,0.0
2025-06-02 02:26:00,4.9,-0.6,-2.7,,289.8,,,0.0,0.0
2025-06-02 02:27:00,4.1,-0.6,-2.6,,289.7,,,0.0,0.0
2025-06-02 02:28:00,4.2,-0.7,-2.5,,289.8,,,0.0,0.0
2025-06-02 02:29:00,4.1,-0.8,-2.6,,289.9,,,0.0,0.0
2025-06-02 02:30:00,4.1,-0.7,-2.6,,289.8,,,0.0,0.0
2025-06-02 02:31:00,3.5,-0.8,-2.8,,289.6,,,0.0,0.0
2025-06-02 02:32:00,3.8,-0.6,-2.3,,289.5,,,0.0,0.0
2025-06-02 02:33:00,4.7,-0.7,-2.4,,289.5,,,0.0,0.0
2025-06-02 02:34:00,3.3,-0.8,-2.5,,289.5,,,0.0,0.0
2025-06-02 02:35:00,4.3,-0.8,-2.3,,289.5,,,0.0,0.0
2025-06-02 02:36:00,4.3,-0.9,-2.5,,289.5,,,0.0,0.0
2025-06-02 02:37:00,3.8,-0.7,-2.1,,289.6,,,0.0,0.0
2025-06-02 02:38:00,4.0,-0.7,-2.0,,289.6,,,0.0,0.0
2025-06-02 02:39:00,3.8,-0.6,-2.0,,289.8,,,0.0,0.0
2025-06-02 02:40:00,4.3,-0.6,-2.1,,289.7,,,0.0,0.0
2025-06-02 02:41:00,4.1,-0.6,-2.1,,289.8,,,0.0,0.0
2025-06-02 02:42:00,4.4,-0.6,-2.2,,289.9,,,0.0,0.0
2025-06-02 02:43:00,4.0,-0.6,-2.3,,289.5,,,0.0,0.0
2025-06-02 02:44:00,4.4,-0.6,-2.2,,289.4,,,0.0,0.0
2025-06-02 02:45:00,4.3,-0.8,-2.5,,289.0,,,0.0,0.0
2025-06-02 02:46:00,4.6,-0.8,-2.4,,289.0,,,0.0,0.0
2025-06-02 02:47:00,3.9,-1.0,-2.3,,289.0,,,0.0,0.0
2025-06-02 02:48:00,4.2,-0.7,-2.3,,289.0,,,0.0,0.0
2025-06-02 02:49:00,4.3,-0.7,-2.4,,288.8,,,0.0,0.0
2025-06-02 02:50:00,4.5,-0.6,-2.3,,288.5,,,0.0,0.0
2025-06-02 02:51:00,4.0,-0.7,-2.3,,288.4,,,0.0,0.0
2025-06-02 02:52:00,3.9,-0.8,-2.2,,288.3,,,0.0,0.0
2025-06-02 02:53:00,4.2,-0.8,-2.5,,288.2,,,0.0,0.0
2025-06-02 02:54:00,4.2,-0.6,-2.2,,288.1,,,0.0,0.0
2025-06-02 02:55:00,4.2,-0.5,-2.4,,288.4,,,0.0,0.0
2025-06-02 02:56:00,4.0,-0.3,-2.4,,288.1,,,0.0,0.0
2025-06-02 02:57:00,3.9,-0.5,-2.5,,288.2,,,0.0,0.0
2025-06-02 02:58:00,4.2,-0.5,-2.6,,288.2,,,0.0,0.0
2025-06-02 02:59:00,3.6,-0.3,-2.5,,288.4,,,0.0,0.0
2025-06-02 03:00:00,3.9,-0.2,-2.3,,288.5,,,0.0,0.0
2025-06-02 03:01:00,3.6,-0.3,-2.5,,288.4,,,0.0,0.0
2025-06-02 03:02:00,3.3,-0.4,-2.7,,288.3,,,0.0,0.0
2025-06-02 03:03:00,4.2,-0.4,-2.7,,288.3,,,0.0,0.0
2025-06-02 03:04:00,3.6,-0.4,-2.8,,288.4,,,0.0,0.0
2025-06-02 03:05:00,4.3,-0.2,-2.5,,288.8,,,0.0,0.0
2025-06-02 03:06:00,3.7,0.0,-2.4,,289.1,,,0.0,0.0
2025-06-02 03:07:00,3.6,0.3,-2.3,,289.2,,,0.0,0.0
2025-06-02 03:08:00,3.7,0.1,-2.3,,289.4,,,0.0,0.0
2025-06-02 03:09:00,3.6,-0.1,-2.5,,289.5,,,0.0,0.0
2025-06-02 03:10:00,4.2,-0.2,-2.6,,289.9,,,0.0,0.0
2025-06-02 03:11:00,4.2,-0.3,-2.6,,291.2,,,0.0,0.0
2025-06-02 03:12:00,3.2,-0.3,-2.7,,293.9,,,0.0,0.0
2025-06-02 03:13:00,4.0,-0.3,-2.8,,299.4,,,0.0,0.0
2025-06-02 03:14:00,4.0,-0.2,-2.5,,308.4,,,0.0,0.0
2025-06-02 03:15:00,3.9,-0.2,-2.6,,318.2,,,0.0,0.0
2025-06-02 03:16:00,3.7,0.0,-2.2,,324.9,,,0.0,0.0
2025-06-02 03:17:00,3.0,-0.1,-2.3,,328.5,,,0.0,0.0
2025-06-02 03:18:00,3.9,0.0,-2.3,,331.1,,,0.0,0.0
2025-06-02 03:19:00,3.8,0.1,-2.3,,332.5,,,0.0,0.0
2025-06-02 03:20:00,4.1,0.2,-2.0,,332.7,,,0.0,0.0
2025-06-02 03:21:00,3.9,0.1,-2.1,,330.4,,,0.0,0.0
2025-06-02 03:22:00,3.4,0.6,-1.1,,328.1,,,0.0,0.0
2025-06-02 03:23:00,4.2,0.5,-1.2,,327.1,,,0.0,0.0
2025-06-02 03:24:00,4.2,0.6,-1.0,,327.1,,,0.0,0.0
2025-06-02 03:25:00,3.0,0.6,-0.9,,326.5,,,0.0,0.0
2025-06-02 03:26:00,5.0,0.4,-1.1,,326.0,,,0.0,0.0
2025-06-02 03:27:00,4.5,0.4,-1.0,,328.2,,,0.0,0.0
2025-06-02 03:28:00,3.8,0.7,-0.8,,332.2,,,0.0,0.0
2025-06-02 03:29:00,4.9,0.7,-0.5,,336.1,,,0.0,0.0
2025-06-02 03:30:00,4.5,0.8,-0.5,,339.2,,,0.0,0.0
2025-06-02 03:31:00,4.0,0.7,-0.4,,342.5,,,0.0,0.0
2025-06-02 03:32:00,4.5,0.6,-0.4,,345.3,,,0.0,0.0
2025-06-02 03:33:00,4.0,0.5,-0.5,,346.8,,,0.0,0.0
2025-06-02 03:34:00,3.9,0.7,-0.4,,346.2,,,0.0,0.0
2025-06-02 03:35:00,4.7,0.7,-0.1,,342.9,,,0.0,0.0
2025-06-02 03:36:00,4.5,0.8,-0.1,,337.2,,,0.0,0.0
2025-06-02 03:37:00,4.0,0.7,-0.4,,329.1,,,0.0,0.0
2025-06-02 03:38:00,4.7,0.6,-0.3,,322.3,,,0.0,0.0
2025-06-02 03:39:00,5.1,0.6,-0.3,,318.4,,,0.0,0.0
2025-06-02 03:40:00,4.6,0.3,-0.6,,316.4,,,0.0,0.0
2025-06-02 03:41:00,4.7,0.4,-0.4,,315.3,,,0.0,0.0
2025-06-02 03:42:00,5.2,0.3,-0.4,,314.3,,,0.0,0.0
2025-06-02 03:43:00,4.8,0.2,-0.5,,313.1,,,0.0,0.0
2025-06-02 03:44:00,5.4,0.4,-0.2,,312.3,,,0.0,0.0
2025-06-02 03:45:00,4.9,0.3,-0.2,,312.2,,,0.0,0.0
2025-06-02 03:46:00,5.3,0.3,-0.3,,309.9,,,0.0,0.0
2025-06-02 03:47:00,5.4,0.3,-0.1,,305.1,,,0.0,0.0
2025-06-02 03:48:00,5.8,0.4,0.0,,299.8,,,0.0,0.0
2025-06-02 03:49:00,5.6,0.3,0.2,,296.2,,,0.0,0.0
2025-06-02 03:50:00,5.9,0.1,0.1,,294.5,,,0.0,0.0
2025-06-02 03:51:00,6.6,0.2,0.4,,293.4,,,0.0,0.0
2025-06-02 03:52:00,6.1,0.0,0.3,,293.1,,,0.0,0.0
2025-06-02 03:53:00,6.2,-0.3,0.2,,293.2,,,0.0,0.0
2025-06-02 03:54:00,6.6,-0.1,0.6,,293.9,,,0.0,0.0
2025-06-02 03:55:00,6.4,-0.1,0.5,,295.3,,,0.0,0.0
2025-06-02 03:56:00,6.4,-0.3,0.6,,297.7,,,0.0,0.0
2025-06-02 03:57:00,6.6,-0.2,0.7,,301.8,,,0.0,0.0
2025-06-02 03:58:00,7.1,-0.3,0.6,,307.5,,,0.0,0.0
2025-06-02 03:59:00,6.9,-0.1,1.1,,315.2,,,0.0,0.0
2025-06-02 04:00:00,7.0,-0.1,1.3,,323.8,,,0.0,0.0
2025-06-02 04:01:00,7.8,-0.1,1.5,,330.7,,,0.0,0.0
2025-06-02 04:02:00,6.8,-0.2,1.4,,334.3,,,0.0,0.0
2025-06-02 04:03:00,6.4,0.0,1.6,,335.1,,,0.0,0.0
2025-06-02 04:04:00,6.8,-0.1,1.6,,332.7,,,0.0,0.0
2025-06-02 04:05:00,7.3,0.1,1.9,,329.4,,,0.0,0.0
2025-06-02 04:06:00,7.6,0.0,2.1,,327.3,,,0.0,0.0
2025-06-02 04:07:00,7.5,0.1,2.3,,327.2,,,0.0,0.0
2025-06-02 04:08:00,7.8,0.0,2.4,,328.1,,,0.0,0.0
2025-06-02 04:09:00,8.4,-0.2,2.7,,328.3,,,0.0,0.0
2025-06-02 04:10:00,8.0,0.1,2.8,,327.5,,,0.0,0.0
2025-06-02 04:11:00,8.6,1.8,3.0,,324.9,,,0.0,0.0
2025-06-02 04:12:00,9.0,2.5,3.2,,322.2,,,0.0,0.0
2025-06-02 04:13:00,10.0,3.6,3.5,,317.8,,,0.0,0.0
2025-06-02 04:14:00,9.8,5.5,3.7,,311.5,,,0.0,0.0
2025-06-02 04:15:00,10.3,8.7,4.2,,306.0,,,0.0,0.1
2025-06-02 04:16:00,10.4,9.9,4.5,,301.5,,,0.0,0.0
2025-06-02 04:17:00,10.6,8.4,4.8,,298.8,,,0.0,0.0
2025-06-02 04:18:00,10.9,9.5,5.1,,296.8,,,0.0,0.0
2025-06-02 04:19:00,11.2,9.5,5.5,,295.8,,,0.0,0.0
2025-06-02 04:20:00,12.6,9.3,5.8,,295.1,,,0.0,0.0
2025-06-02 04:21:00,12.6,8.7,6.2,,294.6,,,0.0,0.0
2025-06-02 04:22:00,13.7,9.9,7.3,,294.6,,,0.0,0.0
2025-06-02 04:23:00,14.7,9.5,8.1,,295.0,,,0.0,0.1
2025-06-02 04:24:00,14.8,4.4,8.1,,295.2,,,5.0,0.0
2025-06-02 04:25:00,16.0,5.3,8.5,,295.3,,,0.0,0.1
2025-06-02 04:26:00,15.2,9.9,8.8,,295.5,,,5.0,0.0
2025-06-02 04:27:00,16.7,8.3,9.4,,296.5,,,5.0,0.0
2025-06-02 04:28:00,17.5,8.2,10.1,,298.3,,,10.0,0.0
2025-06-02 04:29:00,17.4,10.3,11.0,,300.4,,,5.0,0.0
2025-06-02 04:30:00,18.8,7.4,11.6,,303.2,,,5.0,0.0
2025-06-02 04:31:00,18.7,3.9,12.4,,308.2,,,5.0,0.1
2025-06-02 04:32:00,19.2,1.8,13.2,,314.1,,,5.0,0.0
2025-06-02 04:33:00,20.4,2.1,14.2,,319.9,,,0.0,0.1
2025-06-02 04:34:00,21.1,3.0,14.9,,323.3,,,10.0,0.0
2025-06-02 04:35:00,20.8,4.0,15.2,,322.7,,,10.0,0.1
2025-06-02 04:36:00,20.9,5.5,15.4,,320.4,,,0.0,0.0
2025-06-02 04:37:00,21.0,6.5,14.8,,317.2,,,10.0,0.1
