Time,Air temperature (degC),Cloud amount (1/8),Dew-point temperature (degC),Wind direction (deg),Wind speed (m/s),Relative humidity (%),Precipitation amount (mm)
2025-08-03 00:00:00,18.3,0.0,16.3,120.0,1.7,88.0,0.0
2025-08-03 00:10:00,18.1,0.0,16.3,129.0,1.6,90.0,
2025-08-03 00:20:00,18.0,0.0,16.5,112.0,1.3,91.0,
2025-08-03 00:30:00,17.9,0.0,16.4,98.0,1.2,91.0,
2025-08-03 00:40:00,17.8,0.0,16.5,94.0,1.3,92.0,
2025-08-03 00:50:00,17.6,0.0,16.5,92.0,1.4,93.0,
2025-08-03 01:00:00,17.4,0.0,16.4,91.0,1.3,94.0,0.0
2025-08-03 01:10:00,17.2,0.0,16.4,107.0,1.5,95.0,
2025-08-03 01:20:00,17.5,0.0,16.5,109.0,1.7,94.0,
2025-08-03 01:30:00,18.0,0.0,16.4,116.0,1.9,90.0,
2025-08-03 01:40:00,18.0,0.0,16.3,113.0,1.7,90.0,
2025-08-03 01:50:00,17.8,0.0,16.1,115.0,1.7,90.0,
2025-08-03 02:00:00,17.9,0.0,16.3,114.0,1.7,91.0,0.0
2025-08-03 02:10:00,17.9,0.0,16.2,120.0,1.7,90.0,
2025-08-03 02:20:00,17.1,0.0,15.8,136.0,1.9,92.0,
2025-08-03 02:30:00,16.8,0.0,15.9,146.0,2.1,94.0,
2025-08-03 02:40:00,17.3,0.0,16.2,138.0,1.9,93.0,
2025-08-03 02:50:00,16.8,0.0,16.1,135.0,1.6,95.0,
2025-08-03 03:00:00,16.7,0.0,16.1,143.0,1.3,96.0,0.0
2025-08-03 03:10:00,16.4,0.0,15.9,168.0,1.1,97.0,
2025-08-03 03:20:00,16.5,0.0,16.1,203.0,0.9,98.0,
2025-08-03 03:30:00,16.6,0.0,16.2,214.0,1.1,97.0,
2025-08-03 03:40:00,16.6,0.0,16.2,201.0,1.5,97.0,
2025-08-03 03:50:00,16.8,0.0,16.3,186.0,1.3,97.0,
2025-08-03 04:00:00,17.1,0.0,16.4,173.0,1.3,96.0,0.0
2025-08-03 04:10:00,16.5,0.0,16.0,152.0,1.1,97.0,
2025-08-03 04:20:00,16.6,0.0,16.1,153.0,1.1,97.0,
2025-08-03 04:30:00,16.2,0.0,15.8,174.0,0.9,97.0,
2025-08-03 04:40:00,16.2,0.0,15.8,174.0,1.5,98.0,
2025-08-03 04:50:00,16.2,0.0,15.9,200.0,2.0,98.0,
2025-08-03 05:00:00,16.4,0.0,16.0,197.0,2.3,97.0,0.0
2025-08-03 05:10:00,16.3,0.0,15.8,202.0,2.3,97.0,
2025-08-03 05:20:00,16.7,0.0,16.1,197.0,1.6,96.0,
2025-08-03 05:30:00,16.7,0.0,16.0,131.0,1.1,96.0,
2025-08-03 05:40:00,16.3,0.0,15.6,129.0,1.6,96.0,
2025-08-03 05:50:00,16.0,0.0,15.5,142.0,1.8,97.0,
2025-08-03 06:00:00,16.2,0.0,15.7,161.0,1.8,97.0,0.0
2025-08-03 06:10:00,16.4,0.0,16.1,163.0,2.0,98.0,
2025-08-03 06:20:00,17.5,0.0,17.0,162.0,2.2,97.0,
2025-08-03 06:30:00,18.2,0.0,16.5,157.0,2.1,90.0,
2025-08-03 06:40:00,18.9,0.0,16.5,162.0,2.1,86.0,
2025-08-03 06:50:00,19.9,0.0,17.5,163.0,2.0,86.0,
2025-08-03 07:00:00,20.3,0.0,17.4,153.0,2.3,83.0,0.0
2025-08-03 07:10:00,21.2,0.0,17.5,166.0,2.2,79.0,
2025-08-03 07:20:00,21.2,0.0,17.1,151.0,2.0,78.0,
2025-08-03 07:30:00,21.1,0.0,17.3,141.0,2.2,79.0,
2025-08-03 07:40:00,21.6,0.0,16.8,139.0,2.4,74.0,
2025-08-03 07:50:00,21.9,0.0,16.3,144.0,1.7,70.0,
2025-08-03 08:00:00,22.2,0.0,16.8,154.0,1.6,71.0,0.0
2025-08-03 08:10:00,22.3,0.0,16.6,154.0,1.9,70.0,
2025-08-03 08:20:00,22.5,0.0,16.5,149.0,1.6,69.0,
2025-08-03 08:30:00,22.7,0.0,16.6,145.0,2.1,69.0,
2025-08-03 08:40:00,22.9,0.0,16.5,126.0,2.5,67.0,
2025-08-03 08:50:00,22.3,0.0,14.9,152.0,2.8,63.0,
2025-08-03 09:00:00,22.2,0.0,15.8,142.0,2.7,67.0,0.0
2025-08-03 09:10:00,22.5,0.0,16.0,135.0,2.5,67.0,
2025-08-03 09:20:00,23.0,0.0,16.4,165.0,2.9,67.0,
2025-08-03 09:30:00,22.6,0.0,16.5,161.0,1.9,68.0,
2025-08-03 09:40:00,22.7,0.0,15.6,163.0,2.8,64.0,
2025-08-03 09:50:00,23.2,0.0,15.6,150.0,3.4,62.0,
2025-08-03 10:00:00,22.8,0.0,15.4,144.0,3.0,63.0,0.0
2025-08-03 10:10:00,22.6,0.0,15.9,155.0,3.1,66.0,
2025-08-03 10:20:00,23.0,0.0,15.5,165.0,3.0,63.0,
2025-08-03 10:30:00,23.1,0.0,15.4,143.0,2.2,62.0,
2025-08-03 10:40:00,23.0,0.0,15.1,133.0,2.8,61.0,
2025-08-03 10:50:00,23.6,0.0,15.2,160.0,3.0,59.0,
2025-08-03 11:00:00,24.1,0.0,15.9,153.0,3.5,60.0,0.0
2025-08-03 11:10:00,24.1,0.0,15.7,147.0,2.8,59.0,
2025-08-03 11:20:00,24.5,0.0,16.7,137.0,3.6,62.0,
2025-08-03 11:30:00,24.3,0.0,15.4,133.0,3.5,58.0,
2025-08-03 11:40:00,24.2,0.0,15.5,123.0,3.4,58.0,
2025-08-03 11:50:00,24.4,0.0,15.9,130.0,3.7,59.0,
2025-08-03 12:00:00,24.7,0.0,15.4,137.0,3.7,56.0,0.0
2025-08-03 12:10:00,24.8,0.0,16.6,149.0,2.8,60.0,
2025-08-03 12:20:00,24.7,0.0,15.8,154.0,2.9,58.0,
2025-08-03 12:30:00,24.6,0.0,15.5,140.0,3.7,57.0,
2025-08-03 12:40:00,24.1,0.0,14.6,130.0,3.6,55.0,
2025-08-03 12:50:00,24.0,0.0,15.1,145.0,3.6,57.0,
2025-08-03 13:00:00,24.5,0.0,15.0,138.0,4.0,56.0,0.0
2025-08-03 13:10:00,25.4,1.0,15.5,136.0,3.5,54.0,
2025-08-03 13:20:00,24.8,1.0,15.4,125.0,3.4,56.0,
2025-08-03 13:30:00,24.9,0.0,15.8,136.0,4.1,57.0,
2025-08-03 13:40:00,25.2,0.0,16.4,145.0,3.7,58.0,
2025-08-03 13:50:00,24.7,0.0,15.7,130.0,4.2,57.0,
2025-08-03 14:00:00,25.4,0.0,16.4,143.0,3.7,58.0,0.0
2025-08-03 14:10:00,25.1,0.0,16.3,126.0,4.0,58.0,
2025-08-03 14:20:00,25.5,0.0,16.8,128.0,3.2,59.0,
2025-08-03 14:30:00,25.2,0.0,16.4,147.0,2.8,58.0,
2025-08-03 14:40:00,25.2,0.0,16.4,143.0,3.5,58.0,
2025-08-03 14:50:00,25.2,0.0,16.2,135.0,2.8,57.0,
2025-08-03 15:00:00,25.5,0.0,16.5,138.0,4.2,57.0,0.0
2025-08-03 15:10:00,25.5,0.0,16.7,137.0,3.5,58.0,
2025-08-03 15:20:00,25.3,0.0,16.2,136.0,4.8,57.0,
2025-08-03 15:30:00,25.3,0.0,16.0,142.0,3.6,56.0,
2025-08-03 15:40:00,24.9,0.0,16.4,137.0,4.3,59.0,
2025-08-03 15:50:00,24.8,1.0,16.9,122.0,3.7,62.0,
2025-08-03 16:00:00,25.0,1.0,17.1,106.0,3.9,62.0,0.0
2025-08-03 16:10:00,25.0,1.0,17.0,106.0,4.3,61.0,
2025-08-03 16:20:00,24.6,1.0,16.2,106.0,4.1,60.0,
2025-08-03 16:30:00,25.2,1.0,16.8,106.0,4.1,60.0,
2025-08-03 16:40:00,25.1,0.0,16.8,117.0,4.1,60.0,
2025-08-03 16:50:00,25.1,0.0,16.5,119.0,4.0,59.0,
2025-08-03 17:00:00,25.0,0.0,16.8,116.0,4.0,61.0,0.0
2025-08-03 17:10:00,25.3,0.0,16.8,121.0,4.4,59.0,
2025-08-03 17:20:00,25.3,0.0,17.2,121.0,5.2,61.0,
2025-08-03 17:30:00,24.6,0.0,17.0,113.0,5.1,62.0,
2025-08-03 17:40:00,24.4,0.0,17.4,109.0,5.5,65.0,
2025-08-03 17:50:00,24.0,0.0,16.9,114.0,4.7,64.0,
2025-08-03 18:00:00,24.5,0.0,16.9,117.0,5.0,63.0,0.0
2025-08-03 18:10:00,24.2,0.0,16.7,120.0,4.7,63.0,
2025-08-03 18:20:00,24.0,0.0,17.0,119.0,4.3,65.0,
2025-08-03 18:30:00,24.0,0.0,17.2,118.0,4.5,66.0,
2025-08-03 18:40:00,23.9,1.0,17.0,112.0,3.8,65.0,
2025-08-03 18:50:00,24.0,0.0,17.0,109.0,3.7,65.0,
2025-08-03 19:00:00,24.0,0.0,17.0,112.0,4.0,65.0,0.0
2025-08-03 19:10:00,23.7,0.0,17.5,113.0,4.3,68.0,
2025-08-03 19:20:00,23.5,0.0,17.7,108.0,4.4,70.0,
2025-08-03 19:30:00,23.4,0.0,17.8,112.0,4.7,71.0,
2025-08-03 19:40:00,23.2,0.0,18.1,121.0,5.3,73.0,
2025-08-03 19:50:00,23.2,0.0,18.4,112.0,4.1,74.0,
2025-08-03 20:00:00,23.2,0.0,18.1,113.0,4.9,73.0,0.0
2025-08-03 20:10:00,23.0,0.0,17.6,107.0,5.7,72.0,
2025-08-03 20:20:00,23.0,1.0,17.9,106.0,4.6,73.0,
2025-08-03 20:30:00,22.9,0.0,18.0,111.0,4.3,74.0,
2025-08-03 20:40:00,22.8,0.0,17.9,110.0,5.1,74.0,
2025-08-03 20:50:00,22.7,0.0,17.9,109.0,4.0,74.0,
2025-08-03 21:00:00,22.5,0.0,18.0,109.0,3.7,76.0,0.0
2025-08-03 21:10:00,22.6,0.0,18.1,107.0,4.6,76.0,
2025-08-03 21:20:00,22.4,0.0,18.2,112.0,4.3,77.0,
2025-08-03 21:30:00,22.2,0.0,18.3,107.0,4.3,78.0,
2025-08-03 21:40:00,22.3,0.0,18.4,109.0,4.2,79.0,
2025-08-03 21:50:00,22.3,0.0,18.4,109.0,4.2,79.0,
2025-08-03 22:00:00,22.2,0.0,18.3,107.0,4.8,79.0,0.0
2025-08-03 22:10:00,22.2,0.0,18.4,106.0,4.7,79.0,
2025-08-03 22:20:00,22.1,0.0,18.3,103.0,4.5,79.0,
2025-08-03 22:30:00,22.0,0.0,18.4,105.0,4.2,80.0,
2025-08-03 22:40:00,22.1,0.0,18.5,103.0,4.3,80.0,
2025-08-03 22:50:00,22.1,0.0,18.5,106.0,3.9,80.0,
2025-08-03 23:00:00,22.0,1.0,18.5,106.0,4.7,80.0,0.0
2025-08-03 23:10:00,22.1,3.0,18.5,105.0,4.8,80.0,
2025-08-03 23:20:00,22.0,5.0,18.5,105.0,3.9,80.0,
2025-08-03 23:30:00,22.1,5.0,18.5,108.0,4.3,80.0,
2025-08-03 23:40:00,22.1,3.0,18.6,106.0,4.2,80.0,
2025-08-03 23:50:00,22.0,1.0,18.7,108.0,3.6,82.0,
