temperature (°C),cloud_cover (%),precipitation_amount (mm/h),wind_speed (m/s),wind_direction (°),humidity (%),pressure (hPa),Time
6.0,95.5,0.0,4.4,81.0,84.9,1018.2,2025-04-22 14:00:00
6.18,95.3,0.0,3.9,83.0,82.0,1018.1,2025-04-22 15:00:00
6.33,97.9,0.0,3.3,79.0,82.6,1017.8,2025-04-22 16:00:00
6.29,99.4,0.0,3.1,74.0,83.7,1017.2,2025-04-22 17:00:00
6.33,100.0,0.0,2.7,69.0,83.8,1016.9,2025-04-22 18:00:00
6.74,100.0,0.001,2.2,61.0,82.3,1016.7,2025-04-22 19:00:00
6.32,100.0,0.002,1.7,59.0,84.9,1016.4,2025-04-22 20:00:00
6.11,100.0,0.007,1.2,68.0,87.5,1016.2,2025-04-22 21:00:00
5.69,100.0,0.02,0.9,352.0,90.4,1016.1,2025-04-22 22:00:00
5.4,100.0,0.021,1.4,348.0,93.0,1015.5,2025-04-22 23:00:00
5.3,100.0,0.025,1.4,333.0,93.1,1015.2,2025-04-23 00:00:00
5.1,100.0,0.023,1.4,337.0,94.4,1015.1,2025-04-23 01:00:00
4.85,100.0,0.012,1.3,307.0,96.1,1015.2,2025-04-23 02:00:00
4.72,93.2,0.0,1.6,316.0,95.6,1014.8,2025-04-23 03:00:00
4.14,77.3,0.0,1.9,312.0,96.4,1014.5,2025-04-23 04:00:00
4.57,75.2,0.0,2.0,310.0,91.4,1014.3,2025-04-23 05:00:00
3.45,65.4,0.0,1.9,294.0,97.3,1014.4,2025-04-23 06:00:00
4.23,65.5,0.0,2.1,267.0,92.3,1014.4,2025-04-23 07:00:00
4.93,95.1,0.0,2.4,285.0,91.8,1014.6,2025-04-23 08:00:00
5.68,100.0,0.0,2.5,293.0,90.0,1015.0,2025-04-23 09:00:00
6.32,100.0,0.003,2.4,276.0,89.7,1015.0,2025-04-23 10:00:00
6.81,100.0,0.032,2.6,267.0,87.8,1015.1,2025-04-23 11:00:00
7.2,100.0,0.029,3.0,262.0,86.7,1015.5,2025-04-23 12:00:00
7.19,100.0,0.086,3.1,264.0,87.9,1015.8,2025-04-23 13:00:00
